,0,1,2,3,4,5
0,735932.0,133.522046543,134.302311,134.764687797,133.435353061,4545600.0
1,735933.0,134.456440767,136.094036,136.209626345,134.456440767,4195100.0
2,735934.0,135.756877553,134.572031,136.026613082,134.379375287,3725400.0
3,735935.0,134.957357466,133.820664,135.564222434,133.117463951,5909600.0
4,735936.0,133.021128241,135.275231,135.843584474,132.924807609,4571600.0
5,735939.0,135.015152702,134.427543,135.255975955,133.714701353,3279400.0
6,735940.0,133.204157541,132.982604,133.955525132,132.481687778,3905200.0
7,735941.0,132.337198471,131.595459,134.706890604,131.22940284,4615000.0
8,735942.0,132.000041254,131.759218,132.789948272,130.738129328,4754800.0
9,735943.0,130.266110795,129.630348,130.468408108,128.994571719,5333800.0
10,735946.0,130.343176146,130.940413,131.142710313,129.100533935,5143800.0
11,735947.0,132.356454687,132.732138,133.868831466,132.240864341,4238500.0
12,735948.0,134.013320113,134.177078,134.52386445,132.73213847,4345500.0
13,735949.0,134.234887623,131.73032,134.379375795,131.306469146,4089500.0
14,735950.0,131.402804086,129.948222,131.932618135,129.341357033,10026100.0
15,735953.0,130.844092623,130.526204,130.844092623,129.100534186,5617500.0
16,735954.0,130.892259876,132.866999,133.117463854,130.670691886,4263800.0
17,735955.0,133.223427309,133.454608,134.19634844,133.040399709,5164900.0
18,735956.0,133.348644999,133.175259,133.782138414,133.040398942,1495200.0
19,735960.0,132.683984945,132.558753,132.972961291,131.528021766,3143400.0
20,735961.0,133.175259647,134.649097,134.918818082,133.127092106,3943700.0
21,735962.0,134.456441104,134.225245,135.284873097,134.109654655,2989400.0
22,735963.0,133.965166432,132.56838,133.994064259,132.520226909,3443300.0
23,735967.0,130.622539113,130.959683,130.978952714,129.312459644,5229400.0
24,735968.0,131.739948048,130.863362,131.865179994,129.900068984,3924800.0
25,735969.0,129.447320261,130.208315,130.60326899,128.715207936,4310900.0
26,735970.0,128.79227328,127.983111,130.063826803,127.568887297,7025800.0
27,735971.0,128.291356609,126.798264,128.907877623,126.499645093,4762700.0
28,735974.0,126.971649851,128.339524,128.907877473,126.923482311,4974400.0
29,735975.0,128.744105762,128.021636,128.86933867,126.316617959,5078700.0
30,735976.0,128.599617654,126.355143,129.350985243,126.287720195,4700100.0
31,735977.0,127.087240253,128.031278,128.878965254,126.403309921,5709600.0
32,735978.0,125.237720286,125.25699,126.075794844,124.139566247,8895400.0
33,735982.0,125.334055028,123.407469,127.251012943,123.359301459,9979600.0
34,735983.0,114.111689816,117.386888,119.438699236,113.668575992,16157800.0
35,735984.0,116.847445287,118.398348,120.507953917,116.153873355,8851600.0
36,735985.0,120.09373791,118.003394,120.161168421,117.300187211,9238400.0
37,735988.0,117.618075007,117.598813,119.669893942,117.174961184,5446000.0
38,735989.0,117.762571228,118.090087,119.072650693,117.752936371,4617800.0
39,735990.0,118.224954488,116.519922,118.841462017,116.221304056,5026400.0
40,735991.0,116.808913663,117.733674,118.321283706,116.568090408,3942500.0
41,735992.0,118.754761624,120.209336,120.209336,118.44650786,8248100.0
42,735995.0,119.833653004,120.247869,120.690982824,119.168977933,3574900.0
43,735996.0,119.130446053,118.427246,119.583194736,118.138255204,3287300.0
44,735997.0,119.438699208,120.141906,120.845106049,117.80110397,6223500.0
45,735998.0,120.488691957,122.964355,123.783152134,120.41162659,5266500.0
46,735999.0,122.550138647,123.85059,123.918012805,121.230424323,7177700.0
47,736002.0,122.614702175,123.568375,124.084134282,120.794941374,7364000.0
48,736003.0,122.731479639,120.736555,123.519714082,120.444612317,5957200.0
49,736004.0,121.641569654,116.960804,121.923779069,116.620201766,6469100.0
50,736005.0,115.588684252,114.68367,116.445045769,113.759197963,7307600.0
51,736006.0,116.055790032,117.787965,117.797698272,115.170235517,4936500.0
52,736010.0,118.556740274,119.442287,119.782881446,118.079899486,4061400.0
53,736011.0,120.386227171,122.712013,123.169387246,119.93858717,4821000.0
54,736012.0,126.507231178,128.891403,130.399761368,126.263948041,9951600.0
55,736013.0,128.803825589,129.504482,130.05915977,127.324659244,5125300.0
56,736016.0,129.504481595,130.175945,130.701430738,128.852484733,4457400.0
57,736017.0,129.562866954,128.842744,129.825617608,128.463223278,3439700.0
58,736018.0,128.015590308,129.232006,129.903469408,126.195822702,4122600.0
59,736019.0,129.708830802,130.886328,130.89605446,127.363593034,4358300.0
60,736020.0,130.89605382,128.482689,131.295041083,128.40483645,4386200.0
61,736023.0,128.453496546,127.509557,129.776957787,127.383044903,4428000.0
62,736024.0,128.687053398,130.759816,131.022565681,128.482689723,3788500.0
63,736025.0,130.107819521,132.63797,133.747340138,129.640719788,5217200.0
64,736026.0,133.533249176,134.097668,134.2533731,132.414152585,5156400.0
65,736027.0,133.844643806,134.097668,135.674137862,133.338625586,3968400.0
66,736030.0,133.591635448,136.384521,136.734849691,133.19264721,5171000.0
67,736031.0,135.956355834,135.333551,136.579159695,133.727873529,5579100.0
68,736032.0,135.567093358,136.637545,138.350252446,135.489240808,4406500.0
69,736033.0,137.445247103,136.423455,137.669063699,134.379870793,4020600.0
70,736034.0,137.922072627,138.535151,139.080102309,136.734849941,4421900.0
71,736037.0,138.194548047,138.943864,139.342851263,137.25060753,4048800.0
72,736038.0,137.931812344,139.119036,139.479090177,137.737174157,3707500.0
73,736039.0,138.788159314,140.899855,140.987448607,138.291867553,4221900.0
74,736040.0,140.890130266,143.089404,143.361894739,140.568994576,5821600.0
75,736041.0,143.439732144,143.138063,143.546777698,141.600512597,12089700.0
76,736044.0,143.34242776,144.636696,144.71454855,142.778008934,3721600.0
77,736045.0,144.082003913,144.120937,145.269226601,143.867912805,4081900.0
78,736046.0,144.02361747,141.493467,144.052810473,141.230731916,4764200.0
79,736047.0,141.08475335,143.974958,144.237707681,140.607927159,5044500.0
80,736051.0,143.780334679,144.412865,144.656148138,143.274301859,3265100.0
81,736052.0,143.62462952,145.317886,145.736326186,143.537051483,3138500.0
82,736053.0,145.921222308,144.422605,146.368870091,144.33502599,3331200.0
83,736054.0,145.765518072,147.380922,148.986599468,145.34707886,6780600.0
84,736055.0,146.466175809,148.422181,148.850362243,146.21316621,3925500.0
85,736058.0,148.247009085,147.984274,149.395313281,147.828569872,3931200.0
86,736059.0,147.361455739,145.969883,147.526900924,145.629280768,3337000.0
87,736060.0,145.872563363,145.989349,146.1158465,143.838720226,4194600.0
88,736061.0,145.064876505,144.266901,145.580635786,144.023617862,3663000.0
89,736062.0,145.055135776,145.337352,145.960155858,144.140388261,3293800.0
90,736065.0,146.222892009,145.240033,147.867487964,145.210839997,3846100.0
91,736066.0,145.590361457,145.609828,146.07692773,144.588035905,3595800.0
92,736067.0,146.699731271,147.166831,147.166831,145.609827685,3168400.0
93,736068.0,147.429581174,147.09872,148.65572332,146.339677585,3176500.0
94,736069.0,146.981934079,147.643672,148.013467236,146.904097098,3657600.0
95,736072.0,147.64367158,148.431907,149.025517856,147.419854986,5737700.0
96,736073.0,142.534725368,140.131087,143.001825099,138.778433731,13190200.0
97,736074.0,140.364644022,142.184398,143.245108588,140.131087344,6754300.0
98,736075.0,142.641771484,145.288693,146.086653908,142.525000444,6017700.0
99,736076.0,145.424930545,144.510184,146.94301538,143.537051448,5191900.0
100,736079.0,144.179321685,144.811852,144.899430036,143.157529594,2848900.0
101,736080.0,144.65614722,145.074602,145.76551735,143.92629781,2979800.0
102,736081.0,145.337352408,146.427256,146.728925145,144.967557173,3111200.0
103,736082.0,145.726599423,143.118611,146.145039608,142.787735228,3791500.0
104,736083.0,142.554192825,142.018967,143.381346738,140.315985029,4225800.0
105,736086.0,142.622305156,141.36697,143.050485426,140.54952795,3502400.0
106,736087.0,140.76361722,140.257599,141.006900357,139.060635262,3553500.0
107,736088.0,139.508283006,140.37437,141.104219411,139.459623459,2577100.0
108,736089.0,142.02869318,142.534726,143.342427965,141.542126903,6501200.0
109,736090.0,142.32839902,144.715924,145.384048046,141.945214737,4880300.0
110,736093.0,145.118762551,144.765053,145.610024452,144.440819163,4302400.0
111,736094.0,145.649332759,147.349095,147.417863806,145.15807086,3992700.0
112,736095.0,147.093644913,146.346917,148.449516949,146.140594862,3093000.0
113,736096.0,146.602383615,146.238839,146.77923004,144.539077732,3249200.0
114,736097.0,146.189709608,145.138417,147.241017936,144.843656912,2398000.0
115,736100.0,145.06963315,146.848014,147.368749649,144.863311012,3069100.0
116,736101.0,146.602382672,145.413522,146.887307696,144.715923226,3490600.0
117,736102.0,145.403702314,144.765053,145.924438946,143.802184587,2491100.0
