0001,10,5,1534406269,1534407704.934,0,1073
0002,100,4,1534406518,1534407702.935,-1,1207
0003,10,5,1534406232,1534407690.729,0,1266
0004,50,3,1534406769,1534407700.099,-1,1002
0005,100,4,1534406599,1534407694.326,0,873
0006,10,5,1534406103,1534407702.785,-1,1452
0007,100,5,1534406226,1534407698.401,0,1396
0008,50,4,1534406588,1534407692.099,0,1105
0009,100,4,1534406352,1534407676.53,17,1044
0010,10,4,1534406509,1534407708.313,-1,861
0011,10,4,1534406598,1534407698.401,0,900
0012,50,5,1534406107,1534407690.975,-1,1251
0013,100,3,1534406816,1534407708.311,-1,1035
0014,100,4,1534406322,1534407650.191,14,1230
0015,100,4,1534406507,1534407702.946,-1,1089
0016,10,3,1534406978,1534407694.545,0,822
0017,100,3,1534406752,1534407708.322,-1,1000
0018,10,3,1534406719,1534407677.922,29,1043
0019,100,3,1534406804,1534407708.801,-1,1021
0020,50,3,1534406726,1534407700.154,-1,994
0021,100,4,1534406468,1534407708.315,-1,1167
0022,100,5,1534406267,1534407699.867,0,1553
0023,100,4,1534406475,1534407702.777,-1,1346
0024,100,4,1534406530,1534407689.892,-1,1375
0025,100,4,1534406519,1534407689.895,-1,1472
0026,100,4,1534406564,1534407704.923,-1,1195
0027,100,3,1534406913,1534407692.328,-1,1171
0028,100,3,1534406947,1534407704.001,0,1284
0029,100,3,1534406921,1534407698.401,0,1020
0030,50,3,1534406750,1534407708.802,-1,1154
0031,100,4,1534406456,1534407694.905,-1,1216
0032,50,5,1534406108,1534407708.825,-1,1356
0033,50,4,1534406544,1534407701.982,-1,1565
0034,100,3,1534406831,1534407692.329,-1,1038
0035,100,3,1534406683,1534407678.567,15,912
0036,100,4,1534406292,1534407637.791,6,1385
0037,100,2,1534407064,1534407701.143,-1,749
0038,100,5,1534406134,1534407694.92,-1,1641
0039,10,4,1534406333,1534407657.921,16,877
0040,100,4,1534406451,1534407708.318,-1,1421
0041,50,4,1534406553,1534407692.328,-1,993
0042,100,4,1534406360,1534407667.975,23,1676
0043,50,2,1534407048,1534407702.588,-1,1126
0044,100,3,1534406676,1534407672.768,14,899
0045,50,3,1534406796,1534407689.898,-1,921
0046,100,4,1534406510,1534407701.985,-1,1450
0047,100,5,1534406244,1534407690.179,0,1392
0048,50,3,1534406728,1534407700.107,-1,986
0049,100,3,1534406771,1534407708.317,-1,1254
0050,100,2,1534407034,1534407684.256,25,1039
0051,100,5,1534406115,1534407708.631,-1,1598
0052,10,3,1534406709,1534407678.049,27,1250
0053,100,4,1534406528,1534407692.33,-1,1484
0054,50,3,1534406667,1534407668.764,9,1009
0055,50,5,1534406237,1534407704.762,-1,1377
0056,50,4,1534406557,1534407692.554,-1,998
0057,50,5,1534406242,1534407692.182,0,1387
0058,100,3,1534406693,1534407680.044,20,923
0059,50,2,1534407005,1534407678.57,6,912
0060,100,5,1534406154,1534407694.756,-1,1303
0061,100,4,1534406465,1534407700.932,-1,1242
0062,100,3,1534406675,1534407672.781,13,899
0063,100,5,1534406111,1534407708.804,-1,1602
0064,50,3,1534406686,1534407678.366,17,1011
0065,50,3,1534406687,1534407680.375,16,1010
0066,100,3,1534406602,1534407615.342,4,1188
0067,100,4,1534406555,1534407690.183,-1,1005
0068,100,5,1534406141,1534407701.141,-1,1462
0069,100,4,1534406390,1534407688.49,25,1334
0070,100,3,1534406674,1534407664.059,19,869
0071,100,3,1534406740,1534407701.153,-1,973
0072,100,4,1534406521,1534407690.184,-1,1475
0073,100,2,1534407069,1534407689.899,-1,799
0074,50,4,1534406536,1534407692.329,-1,1260
0075,100,3,1534406690,1534407678.365,19,1012
0076,100,4,1534406472,1534407701.988,-1,1228
0077,50,2,1534407052,1534407689.901,30,673
0078,100,5,1534406126,1534407693.0,-1,1625
0079,100,5,1534406153,1534407701.139,-1,1577
0080,100,3,1534406668,1534407658.212,18,1227
0081,100,3,1534406795,1534407690.184,-1,1044
0082,100,4,1534406344,1534407655.759,22,1376
0083,100,4,1534406312,1534407644.038,11,1257
0084,100,2,1534407006,1534407665.581,18,863
0085,100,2,1534406987,1534407709.284,-1,873
0086,100,4,1534406512,1534407692.341,-1,1225
0087,100,3,1534406721,1534407679.214,29,1040
0088,50,2,1534407036,1534407688.187,24,919
0089,100,5,1534406119,1534407689.908,-1,1361
0090,50,4,1534406489,1534407690.185,-1,1373
0091,100,4,1534406589,1534407693.832,0,1338
0092,100,5,1534406268,1534407704.764,0,1331
0093,100,4,1534406611,1534407693.832,0,1112
0094,100,3,1534406726,1534407704.414,-1,1119
0095,100,5,1534406192,1534407697.876,-1,1456
0096,10,3,1534406672,1534407659.981,20,1228
0097,50,3,1534406644,1534407644.021,11,1329
0098,50,4,1534406492,1534407696.446,-1,1429
0099,100,3,1534406671,1534407659.988,19,1229
0100,100,4,1534406480,1534407690.189,-1,1356
0101,50,4,1534406338,1534407658.225,18,1383
0102,100,4,1534406483,1534407691.788,-1,1359
0103,50,4,1534406584,1534407707.727,-1,1204
0104,100,3,1534406917,1534407708.967,-1,894
0105,100,3,1534406913,1534407696.4,0,1129
0106,50,2,1534406983,1534407658.055,5,975
0107,100,4,1534406291,1534407647.679,1,1622
0108,50,2,1534407032,1534407688.187,21,1054
0109,100,4,1534406314,1534407644.024,13,1248
0110,50,3,1534406878,1534407706.969,-1,998
0111,100,4,1534406389,1534407688.781,25,1330
0112,100,3,1534406771,1534407706.283,-1,1246
0113,50,5,1534406170,1534407706.112,-1,1487
0114,50,3,1534406676,1534407666.323,18,979
0115,50,4,1534406440,1534407701.994,-1,1167
